Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-07,154.982,155.762,152.757,154.902,4547300,0.0,0.0
2019-05-08,155.018,157.047,154.716,155.638,2314500,0.0,0.0
2019-05-09,154.237,156.055,153.094,155.682,2138400,0.0,0.0
2019-05-10,154.53,156.241,152.296,155.939,2659600,0.0,0.0
2019-05-13,152.801,153.679,150.807,152.278,3649500,0.0,0.0
2019-05-14,152.899,156.179,152.863,154.672,2560600,0.0,0.0
2019-05-15,153.794,154.982,152.801,154.034,4089200,0.0,0.0
2019-05-16,154.308,156.48,154.122,155.682,5131300,0.0,0.0
2019-05-17,153.839,156.099,153.608,154.787,4596300,0.0,0.0
2019-05-20,154.291,155.727,153.519,154.893,3065400,0.0,0.0
2019-05-21,156.01,156.303,154.645,155.159,2519400,0.0,0.0
2019-05-22,154.796,155.283,153.369,154.645,1995200,0.0,0.0
2019-05-23,152.81,153.271,150.488,153.041,3573600,0.0,0.0
2019-05-24,153.954,154.22,151.552,152.615,1815900,0.0,0.0
2019-05-28,153.351,154.246,150.461,150.523,3819300,0.0,0.0
2019-05-29,150.195,150.497,149.034,149.805,3116700,0.0,0.0
2019-05-30,150.527,151.365,149.689,151.017,2160500,0.88,0.0
2019-05-31,149.03,149.636,146.482,148.611,4215900,0.0,0.0
2019-06-03,148.487,150.251,147.542,148.219,2788500,0.0,0.0
2019-06-04,149.681,152.006,148.843,151.846,3288000,0.0,0.0
2019-06-05,152.372,154.198,152.113,153.69,3068200,0.0,0.0
2019-06-06,153.423,153.485,151.151,152.078,2276300,0.0,0.0
2019-06-07,152.327,153.735,151.953,153.236,2221200,0.0,0.0
2019-06-10,154.626,155.873,153.325,153.61,2182800,0.0,0.0
2019-06-11,154.279,154.831,150.527,152.381,1989900,0.0,0.0
2019-06-12,152.202,153.289,151.16,152.577,2239200,0.0,0.0
2019-06-13,150.999,151.685,148.264,148.941,4219700,0.0,0.0
2019-06-14,149.253,149.395,146.865,148.798,3579600,0.0,0.0
2019-06-17,147.711,147.711,146.277,146.794,4444100,0.0,0.0
2019-06-18,147.845,149.217,147.168,147.506,4132000,0.0,0.0
2019-06-19,147.765,148.38,145.689,147.854,3778000,0.0,0.0
2019-06-20,149.886,150.197,148.495,149.19,3405300,0.0,0.0
2019-06-21,149.369,151.855,148.807,150.474,5885200,0.0,0.0
2019-06-24,150.563,150.803,148.718,149.03,2542500,0.0,0.0
2019-06-25,149.048,149.485,146.09,148.237,2586600,0.0,0.0
2019-06-26,148.585,149.003,147.48,147.765,2423100,0.0,0.0
2019-06-27,148.282,149.547,147.916,147.925,3226500,0.0,0.0
2019-06-28,148.504,150.937,148.397,150.688,4759300,0.0,0.0
2019-07-01,152.461,154.537,152.184,152.817,3211800,0.0,0.0
2019-07-02,153.075,153.245,151.276,152.577,2267700,0.0,0.0
2019-07-03,152.612,153.272,151.953,153.084,1172300,0.0,0.0
2019-07-05,152.621,152.719,148.745,151.507,2605500,0.0,0.0
2019-07-08,150.857,151.543,150.26,151.115,2200700,0.0,0.0
2019-07-09,150.518,151.481,150.189,151.124,2057500,0.0,0.0
2019-07-10,152.363,152.407,150.491,151.097,1703100,0.0,0.0
2019-07-11,151.302,153.485,150.696,153.04,2341000,0.0,0.0
2019-07-12,153.601,155.357,153.37,155.089,2036400,0.0,0.0
2019-07-15,154.653,155.018,153.646,153.878,1994400,0.0,0.0
2019-07-16,154.528,157.468,154.163,156.07,2958300,0.0,0.0
2019-07-17,152.372,152.826,145.956,146.624,10725700,0.0,0.0
2019-07-18,154.92,155.847,151.926,155.268,7476500,0.0,0.0
2019-07-19,155.401,158.244,155.089,156.203,4732600,0.0,0.0
2019-07-22,156.194,156.952,153.61,154.671,3757100,0.0,0.0
2019-07-23,155.134,155.276,152.773,154.35,2599000,0.0,0.0
2019-07-24,153.058,156.212,152.496,155.374,3149000,0.0,0.0
2019-07-25,155.098,156.034,154.029,154.341,1943400,0.0,0.0
2019-07-26,155.553,156.577,154.466,155.25,1627800,0.0,0.0
2019-07-29,155.152,158.377,155.027,158.163,3386100,0.0,0.0
2019-07-30,157.575,159.928,157.317,159.767,2825000,0.0,0.0
2019-07-31,158.743,160.658,157.985,160.347,4508400,0.0,0.0
2019-08-01,158.03,160.872,155.553,155.945,4428000,0.0,0.0
2019-08-02,155.116,155.767,153.352,154.617,2329900,0.0,0.0
2019-08-05,152.086,152.737,147.48,148.665,4051400,0.0,0.0
2019-08-06,149.805,150.99,148.246,149.992,2055300,0.0,0.0
2019-08-07,148.291,149.021,145.956,148.736,2152500,0.0,0.0
2019-08-08,149.832,152.024,148.959,151.213,2395600,0.0,0.0
2019-08-09,150.233,151.186,147.881,149.707,2325900,0.0,0.0
